TEAM_ABBREVIATION,TEAM_NAME,ppg_weighted,ppg_recent5,ppg_overall,ppg_std,n_games
GSW,Golden State Warriors,113.05320600272852,113.73684210526316,110.60126582278481,13.371216115503808,1264.0
LAC,LA Clippers,112.01613109717066,113.27649769585254,111.37387964148527,13.242067153325706,781.0
MIL,Milwaukee Bucks,111.57306990228713,116.90178571428571,107.01407284768212,15.292745673194593,1208.0
DEN,Denver Nuggets,110.92422785080689,113.31808278867102,108.98598516075845,12.966724414287645,1213.0
HOU,Houston Rockets,110.85475047448922,112.08955223880596,109.22055137844612,12.831222842302987,1197.0
NOP,New Orleans Pelicans,110.81196266273643,113.40897755610973,109.05077262693156,13.116716358188606,906.0
MIN,Minnesota Timberwolves,110.16603470067793,113.6780487804878,107.08970976253298,13.054424591385365,1137.0
SAC,Sacramento Kings,110.13476770303818,114.39042821158691,106.78194816800715,13.614642601262133,1119.0
ATL,Atlanta Hawks,110.10655737704919,114.79710144927536,105.91159299416181,14.263868829006485,1199.0
BOS,Boston Celtics,110.08767676767677,114.25840336134453,105.95652173913044,14.026824263735252,1288.0
PHX,Phoenix Suns,110.01201468461453,114.07692307692308,107.21219931271477,13.020210058420691,1164.0
OKC,Oklahoma City Thunder,109.96953524571937,111.21323529411765,108.0804224207961,12.689187452134172,1231.0
LAL,Los Angeles Lakers,109.91798352993546,113.67881548974943,106.59561920808761,13.26312697989777,1187.0
IND,Indiana Pacers,109.54333073756814,115.03389830508475,105.23471074380166,14.214455245378863,1210.0
WAS,Washington Wizards,109.46776802218115,113.1620253164557,105.84788245462403,13.930848349509665,1157.0
SAS,San Antonio Spurs,109.14666365586541,112.68894601542416,107.0860655737705,12.288771932078882,1220.0
BKN,Brooklyn Nets,109.10875145857644,112.96376811594203,106.59332023575638,13.75268399933084,1018.0
UTA,Utah Jazz,109.02587863035372,114.65942028985508,105.25621251071122,13.894616615485855,1167.0
DAL,Dallas Mavericks,108.9578660860098,113.07829977628636,106.11312964492156,13.342082223118982,1211.0
TOR,Toronto Raptors,108.90763980625275,111.51842751842752,105.93770764119601,13.091732368936452,1204.0
POR,Portland Trail Blazers,108.89953667081026,111.29032258064517,106.39340101522842,13.128559548056844,1182.0
PHI,Philadelphia 76ers,108.53315881326353,112.2351598173516,104.6425,14.234765571505903,1200.0
CHA,Charlotte Hornets,107.7698622881356,109.30287206266318,106.56375,13.195115565275517,800.0
CLE,Cleveland Cavaliers,106.79476174755145,108.32089552238806,104.31037344398341,13.0387207761484,1205.0
MEM,Memphis Grizzlies,106.66854438936458,112.74396135265701,103.17597998331944,13.338593891333883,1199.0
CHI,Chicago Bulls,106.42837078651685,110.88659793814433,102.94858611825192,13.39058689779845,1167.0
MIA,Miami Heat,106.08891442900429,109.32181425485962,103.8853601859024,12.154019123670064,1291.0
NYK,New York Knicks,106.07049965776865,109.4289156626506,103.64594127806564,12.906579962568324,1158.0
DET,Detroit Pistons,105.17590822179733,107.82552083333333,102.53411131059246,12.678667546508759,1114.0
ORL,Orlando Magic,104.67185142193848,107.32345679012346,102.04899387576553,13.022587689959877,1143.0
LAC,Los Angeles Clippers,104.33235294117647,102.5296803652968,102.5296803652968,11.637263016510747,438.0
CHA,Charlotte Bobcats,93.72014925373135,92.9113924050633,92.9113924050633,11.425329558282803,316.0
NJN,New Jersey Nets,93.50467289719626,93.6891891891892,93.6891891891892,11.007017768425749,148.0
NOH,New Orleans Hornets,92.90557939914163,93.00847457627118,93.00847457627118,9.94666266084824,236.0
